iShares MSCI EAFE ETF
Fund Holdings as of,"Jan 28, 2020"
Inception Date,"Aug 14, 2001"
Shares Outstanding,"928,200,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange,Location,Currency,Market Currency,FX Rate
"7269","SUZUKI MOTOR CORP","Equity","0.11","44.58","1,590,600.00","70,902,226.50","70,902,226.50","Consumer Discretionary","6865504","JP3397200001","Tokyo Stock Exchange","Japan","USD","JPY","109.14"
"6326","KUBOTA CORP","Equity","0.11","15.65","4,528,000.00","70,861,498.99","70,861,498.99","Industrials","6497509","JP3266400005","Tokyo Stock Exchange","Japan","USD","JPY","109.14"
"8750","DAI-ICHI LIFE HOLDINGS INC","Equity","0.11","15.13","4,654,852.00","70,415,618.95","70,415,618.95","Financials","B601QS4","JP3476480003","Tokyo Stock Exchange","Japan","USD","JPY","109.14"
"11","HANG SENG BANK LTD","Equity","0.11","21.28","3,305,400.00","70,350,270.06","70,350,270.06","Financials","6408374","HK0011000095","Hong Kong Exchanges And Clearing Ltd","Hong Kong","USD","HKD","7.78"
"WPP","WPP PLC","Equity","0.11","12.81","5,454,416.00","69,846,223.00","69,846,223.00","Communication","B8KF9B4","JE00B8KF9B49","London Stock Exchange","United Kingdom","USD","GBP","0.77"
"NESTE","NESTE","Equity","0.11","37.98","1,826,192.00","69,367,403.66","69,367,403.66","Energy","B06YV46","FI0009013296","Nasdaq Omx Helsinki Ltd.","Finland","USD","EUR","0.91"
"FER","FERROVIAL SA","Equity","0.11","32.01","2,151,097.00","68,859,744.82","68,859,744.82","Industrials","B038516","ES0118900010","Bolsa De Madrid","Spain","USD","EUR","0.91"
"MTX","MTU AERO ENGINES HOLDING AG","Equity","0.11","305.70","224,607.00","68,663,234.74","68,663,234.74","Industrials","B09DHL9","DE000A0D9PT0","Xetra","Germany","USD","EUR","0.91"
"SEB A","SKANDINAVISKA ENSKILDA BANKEN","Equity","0.11","9.73","7,037,986.00","68,444,448.55","68,444,448.55","Financials","4813345","SE0000148884","Nasdaq Omx Nordic","Sweden","USD","SEK","9.63"
"ACA","CREDIT AGRICOLE SA","Equity","0.11","13.71","4,987,429.00","68,360,809.04","68,360,809.04","Financials","7262610","FR0000045072","Nyse Euronext - Euronext Paris","France","USD","EUR","0.91"
"HM B","HENNES & MAURITZ","Equity","0.11","19.69","3,469,378.00","68,300,599.40","68,300,599.40","Consumer Discretionary","5687431","SE0000106270","Nasdaq Omx Nordic","Sweden","USD","SEK","9.63"
"VIE","VEOLIA ENVIRON. SA","Equity","0.11","29.37","2,316,484.00","68,038,227.59","68,038,227.59","Utilities","4031879","FR0000124141","Nyse Euronext - Euronext Paris","France","USD","EUR","0.91"
"8725","MS&AD INSURANCE GROUP HOLDINGS INC","Equity","0.11","33.34","2,040,088.00","68,021,625.73","68,021,625.73","Financials","B2Q4CS1","JP3890310000","Tokyo Stock Exchange","Japan","USD","JPY","109.14"
"7270","SUBARU CORP","Equity","0.11","25.43","2,657,900.00","67,579,920.29","67,579,920.29","Consumer Discretionary","6356406","JP3814800003","Tokyo Stock Exchange","Japan","USD","JPY","109.14"
"27","GALAXY ENTERTAINMENT GROUP LTD","Equity","0.11","7.21","9,363,000.00","67,489,216.82","67,489,216.82","Consumer Discretionary","6465874","HK0027032686","Hong Kong Exchanges And Clearing Ltd","Hong Kong","USD","HKD","7.78"
"CARL B","CARLSBERG AS CL B","Equity","0.11","146.29","460,987.00","67,437,844.45","67,437,844.45","Consumer Staples","4169219","DK0010181759","Omx Nordic Exchange Copenhagen A/S","Denmark","USD","DKK","6.79"
"SGSN","SGS SA","Equity","0.11","2,919.34","22,959.00","67,025,144.53","67,025,144.53","Industrials","4824778","CH0002497458","Six Swiss Exchange Ag","Switzerland","USD","CHF","0.97"
"AHT","ASHTEAD GROUP PLC","Equity","0.10","32.86","2,030,810.00","66,727,221.79","66,727,221.79","Industrials","0053673","GB0000536739","London Stock Exchange","United Kingdom","USD","GBP","0.77"
"SHB A","SVENSKA HANDELSBANKEN-A SHS","Equity","0.10","9.88","6,643,642.00","65,643,974.87","65,643,974.87","Financials","BXDZ9Q1","SE0007100599","Nasdaq Omx Nordic","Sweden","USD","SEK","9.63"
"MRO","MELROSE INDUSTRIES PLC","Equity","0.10","3.11","20,998,974.00","65,344,300.71","65,344,300.71","Industrials","BZ1G432","GB00BZ1G4322","London Stock Exchange","United Kingdom","USD","GBP","0.77"
"DWNI","DEUTSCHE WOHNEN","Equity","0.10","41.67","1,554,726.00","64,785,267.62","64,785,267.62","Real Estate","B0YZ0Z5","DE000A0HN5C6","Xetra","Germany","USD","EUR","0.91"
"HEXA B","HEXAGON B","Equity","0.10","57.08","1,134,594.00","64,757,215.50","64,757,215.50","Information Technology","B1XFTL2","SE0000103699","Nasdaq Omx Nordic","Sweden","USD","SEK","9.63"
"COLO B","COLOPLAST B","Equity","0.10","125.45","511,799.00","64,203,244.03","64,203,244.03","Health Care","B8FMRX8","DK0060448595","Omx Nordic Exchange Copenhagen A/S","Denmark","USD","DKK","6.79"
"TEP","TELEPERFORMANCE","Equity","0.10","253.01","253,205.00","64,063,776.86","64,063,776.86","Industrials","5999330","FR0000051807","Nyse Euronext - Euronext Paris","France","USD","EUR","0.91"
"6762","TDK CORP","Equity","0.10","112.52","560,100.00","63,020,230.90","63,020,230.90","Information Technology","6869302","JP3538800008","Tokyo Stock Exchange","Japan","USD","JPY","109.14"
"RR.","ROLLS-ROYCE HOLDINGS PLC","Equity","0.10","8.45","7,445,462.00","62,923,698.98","62,923,698.98","Industrials","B63H849","GB00B63H8491","London Stock Exchange","United Kingdom","USD","GBP","0.77"
"GMAB","GENMAB","Equity","0.10","223.53","280,610.00","62,724,029.38","62,724,029.38","Health Care","4595739","DK0010272202","Omx Nordic Exchange Copenhagen A/S","Denmark","USD","DKK","6.79"
"EUR","EUR CASH","Cash","0.10","110.00","56,922,077.00","62,617,131.13","62,617,131.13","Cash and/or Derivatives","-","-","-","European Union","USD","EUR","0.91"
"6178","JAPAN POST HOLDINGS LTD","Equity","0.10","9.11","6,827,200.00","62,179,190.03","62,179,190.03","Financials","BYT8143","JP3752900005","Tokyo Stock Exchange","Japan","USD","JPY","109.14"
"FCA","FIAT CHRYSLER AUTOMOBILES NV","Equity","0.10","13.22","4,679,480.00","61,844,010.96","61,844,010.96","Consumer Discretionary","BRJFWP3","NL0010877643","Borsa Italiana","Italy","USD","EUR","0.91"
"JPY","JPY CASH","Cash","0.10","0.92","6,719,532,805.00","61,568,011.77","61,568,011.77","Cash and/or Derivatives","-","-","-","Japan","USD","JPY","109.14"
"SCMN","SWISSCOM AG","Equity","0.10","551.01","111,700.00","61,547,692.15","61,547,692.15","Communication","5533976","CH0008742519","Six Swiss Exchange Ag","Switzerland","USD","CHF","0.97"
"1928","SEKISUI HOUSE LTD","Equity","0.09","22.37","2,687,100.00","60,099,057.17","60,099,057.17","Consumer Discretionary","6793906","JP3420600003","Tokyo Stock Exchange","Japan","USD","JPY","109.14"
"CHKP","CHECK POINT SOFTWARE TECHNOLOGIES","Equity","0.09","113.77","526,865.00","59,941,431.05","59,941,431.05","Information Technology","2181334","IL0010824113","NASDAQ","Israel","USD","USD","1.00"
"SOON","SONOVA HOLDING AG","Equity","0.09","249.63","239,825.00","59,866,979.00","59,866,979.00","Health Care","7156036","CH0012549785","Six Swiss Exchange Ag","Switzerland","USD","CHF","0.97"
"ALL","ARISTOCRAT LEISURE LTD","Equity","0.09","24.11","2,476,909.00","59,726,146.37","59,726,146.37","Consumer Discretionary","6253983","AU000000ALL7","Asx - All Markets","Australia","USD","AUD","1.48"
"5020","JXTG HOLDINGS INC","Equity","0.09","4.33","13,789,350.00","59,672,988.87","59,672,988.87","Energy","B627LW9","JP3386450005","Tokyo Stock Exchange","Japan","USD","JPY","109.14"
"III","3I GROUP PLC","Equity","0.09","14.27","4,180,284.00","59,641,023.13","59,641,023.13","Financials","B1YW440","GB00B1YW4409","London Stock Exchange","United Kingdom","USD","GBP","0.77"
"SCG","SCENTRE GROUP","Equity","0.09","2.59","22,962,543.00","59,385,900.93","59,385,900.93","Real Estate","BLZH0Z7","AU000000SCG8","Asx - All Markets","Australia","USD","AUD","1.48"
"9021","WEST JAPAN RAILWAY","Equity","0.09","84.73","700,900.00","59,384,481.40","59,384,481.40","Industrials","6957995","JP3659000008","Tokyo Stock Exchange","Japan","USD","JPY","109.14"
"8113","UNICHARM CORP","Equity","0.09","33.63","1,755,100.00","59,017,931.10","59,017,931.10","Consumer Staples","6911485","JP3951600000","Tokyo Stock Exchange","Japan","USD","JPY","109.14"
"RBS","ROYAL BANK OF SCOTLAND GROUP PLC","Equity","0.09","2.83","20,840,957.00","58,954,436.49","58,954,436.49","Financials","B7T7721","GB00B7T77214","London Stock Exchange","United Kingdom","USD","GBP","0.77"
"SWED A","SWEDBANK","Equity","0.09","14.83","3,912,164.00","58,035,299.40","58,035,299.40","Financials","4846523","SE0000242455","Nasdaq Omx Nordic","Sweden","USD","SEK","9.63"
"8267","AEON LTD","Equity","0.09","20.57","2,818,000.00","57,978,916.99","57,978,916.99","Consumer Staples","6480048","JP3388200002","Tokyo Stock Exchange","Japan","USD","JPY","109.14"
"TEL","TELENOR","Equity","0.09","18.23","3,160,871.00","57,611,449.28","57,611,449.28","Communication","4732495","NO0010063308","Oslo Bors Asa","Norway","USD","NOK","9.15"
"EDEN","EDENRED SA","Equity","0.09","54.80","1,048,110.00","57,441,135.06","57,441,135.06","Industrials","B62G1B5","FR0010908533","Nyse Euronext - Euronext Paris","France","USD","EUR","0.91"
"BXB","BRAMBLES LTD","Equity","0.09","8.37","6,858,572.00","57,427,509.21","57,427,509.21","Industrials","B1FJ0C0","AU000000BXB1","Asx - All Markets","Australia","USD","AUD","1.48"
"SY1","SYMRISE AG","Equity","0.09","102.02","555,968.00","56,719,097.58","56,719,097.58","Materials","B1JB4K8","DE000SYM9999","Xetra","Germany","USD","EUR","0.91"
"2388","BOC HONG KONG HOLDINGS LTD","Equity","0.09","3.52","15,994,500.00","56,256,375.39","56,256,375.39","Financials","6536112","HK2388011192","Hong Kong Exchanges And Clearing Ltd","Hong Kong","USD","HKD","7.78"
"INF","INFORMA PLC","Equity","0.09","10.37","5,410,684.00","56,108,909.95","56,108,909.95","Communication","BMJ6DW5","GB00BMJ6DW54","London Stock Exchange","United Kingdom","USD","GBP","0.77"
"7201","NISSAN MOTOR LTD","Equity","0.09","5.49","10,096,800.00","55,433,411.76","55,433,411.76","Consumer Discretionary","6642860","JP3672400003","Tokyo Stock Exchange","Japan","USD","JPY","109.14"
"1928","SANDS CHINA LTD","Equity","0.09","5.31","10,430,000.00","55,395,961.93","55,395,961.93","Consumer Discretionary","B5B23W2","KYG7800X1079","Hong Kong Exchanges And Clearing Ltd","Hong Kong","USD","HKD","7.78"
"3407","ASAHI KASEI CORP","Equity","0.09","10.17","5,440,400.00","55,306,247.02","55,306,247.02","Materials","6054603","JP3111200006","Tokyo Stock Exchange","Japan","USD","JPY","109.14"
"8630","SOMPO HOLDINGS INC","Equity","0.09","38.08","1,446,750.00","55,091,561.30","55,091,561.30","Financials","B62G7K6","JP3165000005","Tokyo Stock Exchange","Japan","USD","JPY","109.14"
"SGRO","SEGRO REIT PLC","Equity","0.09","11.70","4,701,043.00","54,987,075.14","54,987,075.14","Real Estate","B5ZN1N8","GB00B5ZN1N88","London Stock Exchange","United Kingdom","USD","GBP","0.77"
"2413","M3 INC","Equity","0.09","28.86","1,903,500.00","54,938,840.02","54,938,840.02","Health Care","B02K2M3","JP3435750009","Tokyo Stock Exchange","Japan","USD","JPY","109.14"
"ATCO B","ATLAS COPCO CLASS B","Equity","0.09","32.58","1,684,679.00","54,879,866.94","54,879,866.94","Industrials","BD97BS7","SE0011166628","Nasdaq Omx Nordic","Sweden","USD","SEK","9.63"
"9843","NITORI HOLDINGS LTD","Equity","0.09","156.22","350,300.00","54,724,344.88","54,724,344.88","Consumer Discretionary","6644800","JP3756100008","Tokyo Stock Exchange","Japan","USD","JPY","109.14"
"ITRK","INTERTEK GROUP PLC","Equity","0.09","78.90","693,570.00","54,725,860.65","54,725,860.65","Industrials","3163836","GB0031638363","London Stock Exchange","United Kingdom","USD","GBP","0.77"
"CON","CONTINENTAL AG","Equity","0.09","114.74","476,151.00","54,631,287.36","54,631,287.36","Consumer Discretionary","4598589","DE0005439004","Xetra","Germany","USD","EUR","0.91"
"PSN","PERSIMMON PLC","Equity","0.08","39.30","1,376,794.00","54,103,204.70","54,103,204.70","Consumer Discretionary","0682538","GB0006825383","London Stock Exchange","United Kingdom","USD","GBP","0.77"
"NXT","NEXT PLC","Equity","0.08","91.39","591,102.00","54,022,750.59","54,022,750.59","Consumer Discretionary","3208986","GB0032089863","London Stock Exchange","United Kingdom","USD","GBP","0.77"
"CCEP","COCA COLA EUROPEAN PARTNERS PLC","Equity","0.08","52.99","1,018,314.00","53,960,458.86","53,960,458.86","Consumer Staples","BYQQ3P5","GB00BDCPN049","New York Stock Exchange Inc.","Netherlands","USD","USD","1.00"
"COL","COLES GROUP LTD","Equity","0.08","11.01","4,885,270.00","53,803,078.44","53,803,078.44","Consumer Staples","BYWR0T5","AU0000030678","Asx - All Markets","Australia","USD","AUD","1.48"
"AENA","AENA SME SA","Equity","0.08","183.87","290,862.00","53,481,772.51","53,481,772.51","Industrials","BVRZ8L1","ES0105046009","Bolsa De Madrid","Spain","USD","EUR","0.91"
"8309","SUMITOMO MITSUI TRUST HOLDINGS INC","Equity","0.08","37.23","1,435,260.00","53,431,018.69","53,431,018.69","Financials","6431897","JP3892100003","Tokyo Stock Exchange","Japan","USD","JPY","109.14"
"SEK","SEK CASH","Cash","0.08","10.38","514,161,963.00","53,375,615.13","53,375,615.13","Cash and/or Derivatives","-","-","-","Sweden","USD","SEK","9.63"
"UG","PEUGEOT SA","Equity","0.08","21.04","2,534,305.00","53,331,804.18","53,331,804.18","Consumer Discretionary","7103526","FR0000121501","Nyse Euronext - Euronext Paris","France","USD","EUR","0.91"
"6869","SYSMEX CORP","Equity","0.08","73.76","721,700.00","53,231,491.66","53,231,491.66","Health Care","6883807","JP3351100007","Tokyo Stock Exchange","Japan","USD","JPY","109.14"
"J36","JARDINE MATHESON HOLDINGS LTD","Equity","0.08","55.56","957,400.00","53,193,144.00","53,193,144.00","Industrials","6472119","BMG507361001","Singapore Exchange","Hong Kong","USD","USD","1.00"
"ABF","ASSOCIATED BRITISH FOODS PLC","Equity","0.08","34.49","1,530,577.00","52,794,458.78","52,794,458.78","Consumer Staples","0673123","GB0006731235","London Stock Exchange","United Kingdom","USD","GBP","0.77"
"EDP","EDP ENERGIAS DE PORTUGAL SA","Equity","0.08","4.75","11,088,918.00","52,623,743.36","52,623,743.36","Utilities","4103596","PTEDP0AM0009","Nyse Euronext - Euronext Lisbon","Portugal","USD","EUR","0.91"
"ATL","ATLANTIA","Equity","0.08","24.56","2,141,586.00","52,606,168.00","52,606,168.00","Industrials","7667163","IT0003506190","Borsa Italiana","Italy","USD","EUR","0.91"
"QBE","QBE INSURANCE GROUP LTD","Equity","0.08","9.22","5,693,906.00","52,520,104.96","52,520,104.96","Financials","6715740","AU000000QBE9","Asx - All Markets","Australia","USD","AUD","1.48"
"CLNX","CELLNEX TELECOM SA","Equity","0.08","47.93","1,082,613.00","51,888,751.72","51,888,751.72","Communication","BX90C05","ES0105066007","Bolsa De Madrid","Spain","USD","EUR","0.91"
"8830","SUMITOMO REALTY & DEVELOPMENT LTD","Equity","0.08","36.00","1,438,500.00","51,785,472.79","51,785,472.79","Real Estate","6858902","JP3409000001","Tokyo Stock Exchange","Japan","USD","JPY","109.14"
"7011","MITSUBISHI HEAVY INDUSTRIES LTD","Equity","0.08","37.10","1,383,800.00","51,337,788.16","51,337,788.16","Industrials","6597067","JP3900000005","Tokyo Stock Exchange","Japan","USD","JPY","109.14"
"HNR1","HANNOVER RUECK","Equity","0.08","196.47","260,450.00","51,170,332.82","51,170,332.82","Financials","4511809","DE0008402215","Xetra","Germany","USD","EUR","0.91"
"669","TECHTRONIC INDUSTRIES LTD","Equity","0.08","8.59","5,915,533.00","50,817,593.16","50,817,593.16","Industrials","B0190C7","HK0669013440","Hong Kong Exchanges And Clearing Ltd","Hong Kong","USD","HKD","7.78"
"TELIA","TELIA COMPANY","Equity","0.08","4.28","11,827,752.00","50,648,794.24","50,648,794.24","Communication","5978384","SE0000667925","Nasdaq Omx Nordic","Sweden","USD","SEK","9.63"
"7832","BANDAI NAMCO HOLDINGS INC","Equity","0.08","58.97","858,000.00","50,596,371.63","50,596,371.63","Consumer Discretionary","B0JDQD4","JP3778630008","Tokyo Stock Exchange","Japan","USD","JPY","109.14"
"BEI","BEIERSDORF AG","Equity","0.08","114.79","435,945.00","50,042,221.37","50,042,221.37","Consumer Staples","5107401","DE0005200000","Xetra","Germany","USD","EUR","0.91"
"HO","THALES SA","Equity","0.08","108.02","460,553.00","49,751,196.38","49,751,196.38","Industrials","4162791","FR0000121329","Nyse Euronext - Euronext Paris","France","USD","EUR","0.91"
"UCB","UCB SA","Equity","0.08","90.64","546,228.00","49,512,356.38","49,512,356.38","Health Care","5596991","BE0003739530","Nyse Euronext - Euronext Brussels","Belgium","USD","EUR","0.91"
"6701","NEC CORP","Equity","0.08","46.09","1,069,600.00","49,295,290.45","49,295,290.45","Information Technology","6640400","JP3733000008","Tokyo Stock Exchange","Japan","USD","JPY","109.14"
"7309","SHIMANO INC","Equity","0.08","153.47","320,600.00","49,203,316.84","49,203,316.84","Consumer Discretionary","6804820","JP3358000002","Tokyo Stock Exchange","Japan","USD","JPY","109.14"
"8002","MARUBENI CORP","Equity","0.08","7.26","6,739,700.00","48,957,615.54","48,957,615.54","Industrials","6569464","JP3877600001","Tokyo Stock Exchange","Japan","USD","JPY","109.14"
"6857","ADVANTEST CORP","Equity","0.08","56.44","867,100.00","48,940,223.57","48,940,223.57","Information Technology","6870490","JP3122400009","Tokyo Stock Exchange","Japan","USD","JPY","109.14"
"RTO","RENTOKIL INITIAL PLC","Equity","0.08","6.17","7,914,929.00","48,868,664.90","48,868,664.90","Industrials","B082RF1","GB00B082RF11","London Stock Exchange","United Kingdom","USD","GBP","0.77"
"FORTUM","FORTUM","Equity","0.08","25.43","1,920,667.00","48,848,623.44","48,848,623.44","Utilities","5579550","FI0009007132","Nasdaq Omx Helsinki Ltd.","Finland","USD","EUR","0.91"
"5401","NIPPON STEEL CORP","Equity","0.08","14.09","3,463,335.00","48,789,422.42","48,789,422.42","Materials","6642569","JP3381000003","Tokyo Stock Exchange","Japan","USD","JPY","109.14"
"HEIO","HEINEKEN HOLDING NV","Equity","0.08","98.29","496,163.00","48,767,597.06","48,767,597.06","Consumer Staples","B0CCH46","NL0000008977","Euronext Amsterdam","Netherlands","USD","EUR","0.91"
"SRG","SNAM","Equity","0.08","5.45","8,924,674.00","48,636,329.14","48,636,329.14","Utilities","7251470","IT0003153415","Borsa Italiana","Italy","USD","EUR","0.91"
"NZYM B","NOVOZYMES B","Equity","0.08","51.62","940,234.00","48,538,653.80","48,538,653.80","Materials","B798FW0","DK0060336014","Omx Nordic Exchange Copenhagen A/S","Denmark","USD","DKK","6.79"
"BAER","JULIUS BAER GRUPPE AG","Equity","0.08","50.25","963,007.00","48,395,094.30","48,395,094.30","Financials","B4R2R50","CH0102484968","Six Swiss Exchange Ag","Switzerland","USD","CHF","0.97"
"IAG","INSURANCE AUSTRALIA GROUP LTD","Equity","0.08","4.83","9,953,441.00","48,122,797.01","48,122,797.01","Financials","6271026","AU000000IAG3","Asx - All Markets","Australia","USD","AUD","1.48"
"TEVA","TEVA PHARMACEUTICAL INDUSTRIES ADR","Equity","0.08","10.21","4,710,914.00","48,098,431.94","48,098,431.94","Health Care","2883878","US8816242098","New York Stock Exchange Inc.","Israel","USD","USD","1.00"
"EBS","ERSTE GROUP BANK AG","Equity","0.08","36.96","1,299,998.00","48,050,110.08","48,050,110.08","Financials","5289837","AT0000652011","Wiener Boerse Ag","Austria","USD","EUR","0.91"
"ASX","ASX LTD","Equity","0.07","56.64","837,395.00","47,430,027.68","47,430,027.68","Financials","6129222","AU000000ASX7","Asx - All Markets","Australia","USD","AUD","1.48"
"SUN","SUNCORP GROUP LTD","Equity","0.07","8.71","5,441,997.00","47,403,739.32","47,403,739.32","Financials","6585084","AU000000SUN6","Asx - All Markets","Australia","USD","AUD","1.48"
"6645","OMRON CORP","Equity","0.07","56.90","831,000.00","47,283,397.47","47,283,397.47","Information Technology","6659428","JP3197800000","Tokyo Stock Exchange","Japan","USD","JPY","109.14"
"TLS","TELSTRA CORPORATION LTD","Equity","0.07","2.61","17,966,795.00","46,829,822.33","46,829,822.33","Communication","6087289","AU000000TLS2","Asx - All Markets","Australia","USD","AUD","1.48"
"PAH3","PORSCHE AUTOMOBIL HOLDING PREF","Equity","0.07","70.67","662,710.00","46,831,868.06","46,831,868.06","Consumer Discretionary","7101069","DE000PAH0038","Xetra","Germany","USD","EUR","0.91"
"NN","NN GROUP NV","Equity","0.07","35.30","1,325,915.00","46,805,601.02","46,805,601.02","Financials","BNG8PQ9","NL0010773842","Euronext Amsterdam","Netherlands","USD","EUR","0.91"
"MOWI","MOWI","Equity","0.07","24.71","1,891,079.00","46,728,790.46","46,728,790.46","Consumer Staples","B02L486","NO0003054108","Oslo Bors Asa","Norway","USD","NOK","9.15"
"FMG","FORTESCUE METALS GROUP LTD","Equity","0.07","7.81","5,962,498.00","46,582,865.28","46,582,865.28","Materials","6086253","AU000000FMG4","Asx - All Markets","Australia","USD","AUD","1.48"
"4689","Z HOLDINGS CORP","Equity","0.07","4.06","11,420,822.00","46,357,193.93","46,357,193.93","Communication","6084848","JP3933800009","Tokyo Stock Exchange","Japan","USD","JPY","109.14"
"BRBY","BURBERRY GROUP PLC","Equity","0.07","26.09","1,767,491.00","46,120,592.01","46,120,592.01","Consumer Discretionary","3174300","GB0031743007","London Stock Exchange","United Kingdom","USD","GBP","0.77"
"SGE","SAGE GROUP PLC","Equity","0.07","9.79","4,704,900.00","46,041,359.09","46,041,359.09","Information Technology","B8C3BL0","GB00B8C3BL03","London Stock Exchange","United Kingdom","USD","GBP","0.77"
"KPN","KONINKLIJKE KPN NV","Equity","0.07","2.97","15,430,591.00","45,763,040.71","45,763,040.71","Communication","5956078","NL0000009082","Euronext Amsterdam","Netherlands","USD","EUR","0.91"
"NICE","NICE LTD","Equity","0.07","170.30","268,634.00","45,747,110.25","45,747,110.25","Information Technology","6647133","IL0002730112","Tel Aviv Stock Exchange","Israel","USD","ILS","3.45"
"BDEV","BARRATT DEVELOPMENTS PLC","Equity","0.07","10.47","4,357,587.00","45,618,204.79","45,618,204.79","Consumer Discretionary","0081180","GB0000811801","London Stock Exchange","United Kingdom","USD","GBP","0.77"
"8951","NIPPON BUILDING FUND REIT INC","Equity","0.07","7,879.79","5,785.00","45,584,570.28","45,584,570.28","Real Estate","6396800","JP3027670003","Tokyo Stock Exchange","Japan","USD","JPY","109.14"
"STMN","STRAUMANN HOLDING AG","Equity","0.07","1,024.80","44,423.00","45,524,622.89","45,524,622.89","Health Care","7156832","CH0012280076","SIX Swiss Exchange","Switzerland","USD","CHF","0.97"
"5802","SUMITOMO ELECTRIC INDUSTRIES LTD","Equity","0.07","13.96","3,258,900.00","45,506,355.14","45,506,355.14","Consumer Discretionary","6858708","JP3407400005","Tokyo Stock Exchange","Japan","USD","JPY","109.14"
"IHG","INTERCONTINENTAL HOTELS GROUP PLC","Equity","0.07","61.14","743,619.00","45,463,920.52","45,463,920.52","Consumer Discretionary","BHJYC05","GB00BHJYC057","London Stock Exchange","United Kingdom","USD","GBP","0.77"
"LUMI","BANK LEUMI LE ISRAEL","Equity","0.07","7.06","6,430,637.00","45,427,777.30","45,427,777.30","Financials","6076425","IL0006046119","Tel Aviv Stock Exchange","Israel","USD","ILS","3.45"
"SCHP","SCHINDLER HOLDING PAR AG","Equity","0.07","257.95","175,849.00","45,359,417.57","45,359,417.57","Industrials","B11TCY0","CH0024638196","Six Swiss Exchange Ag","Switzerland","USD","CHF","0.97"
"TEMN","TEMENOS AG","Equity","0.07","160.19","281,582.00","45,106,322.33","45,106,322.33","Information Technology","7147892","CH0012453913","Six Swiss Exchange Ag","Switzerland","USD","CHF","0.97"
"HEI","HEIDELBERGCEMENT AG","Equity","0.07","69.90","644,406.00","45,042,160.24","45,042,160.24","Materials","5120679","DE0006047004","Xetra","Germany","USD","EUR","0.91"
"CA","CARREFOUR SA","Equity","0.07","17.24","2,609,406.00","44,994,728.08","44,994,728.08","Consumer Staples","5641567","FR0000120172","Nyse Euronext - Euronext Paris","France","USD","EUR","0.91"
"HLMA","HALMA PLC","Equity","0.07","27.68","1,624,846.00","44,971,876.65","44,971,876.65","Information Technology","0405207","GB0004052071","London Stock Exchange","United Kingdom","USD","GBP","0.77"
"CABK","CAIXABANK SA","Equity","0.07","2.88","15,491,340.00","44,682,153.74","44,682,153.74","Financials","B283W97","ES0140609019","Bolsa De Madrid","Spain","USD","EUR","0.91"
"DANSKE","DANSKE BANK","Equity","0.07","15.97","2,796,919.00","44,670,996.12","44,670,996.12","Financials","4588825","DK0010274414","Omx Nordic Exchange Copenhagen A/S","Denmark","USD","DKK","6.79"
"STO","SANTOS LTD","Equity","0.07","5.83","7,642,904.00","44,589,924.80","44,589,924.80","Energy","6776703","AU000000STO6","Asx - All Markets","Australia","USD","AUD","1.48"
"6","POWER ASSETS HOLDINGS LTD","Equity","0.07","7.40","5,968,000.00","44,169,032.92","44,169,032.92","Utilities","6435327","HK0006000050","Hong Kong Exchanges And Clearing Ltd","Hong Kong","USD","HKD","7.78"
"MT","ARCELORMITTAL SA","Equity","0.07","15.34","2,863,230.00","43,931,962.06","43,931,962.06","Materials","BYPBS67","LU1598757687","Euronext Amsterdam","France","USD","EUR","0.91"
"GRF","GRIFOLS SA CLASS A","Equity","0.07","33.99","1,289,311.00","43,825,672.88","43,825,672.88","Health Care","BYY3DX6","ES0171996087","Bolsa De Madrid","Spain","USD","EUR","0.91"
"CNHI","CNH INDUSTRIAL NV","Equity","0.07","9.99","4,379,062.00","43,759,328.10","43,759,328.10","Industrials","BDSV2V0","NL0010545661","Borsa Italiana","Italy","USD","EUR","0.91"
"AGS","AGEAS SA","Equity","0.07","55.62","785,015.00","43,661,378.76","43,661,378.76","Financials","B86S2N0","BE0974264930","Nyse Euronext - Euronext Brussels","Belgium","USD","EUR","0.91"
"GLPG","GALAPAGOS NV","Equity","0.07","230.13","187,699.00","43,195,257.21","43,195,257.21","Health Care","B07Q2V5","BE0003818359","Euronext Amsterdam","Belgium","USD","EUR","0.91"
"TRN","TERNA RETE ELETTRICA NAZIONALE","Equity","0.07","7.11","6,056,765.00","43,041,328.43","43,041,328.43","Utilities","B01BN57","IT0003242622","Borsa Italiana","Italy","USD","EUR","0.91"
"MNDI","MONDI PLC","Equity","0.07","20.59","2,085,957.00","42,948,711.53","42,948,711.53","Materials","B1CRLC4","GB00B1CRLC47","London Stock Exchange","United Kingdom","USD","GBP","0.77"
"ORG","ORIGIN ENERGY LTD","Equity","0.07","5.63","7,616,499.00","42,892,961.52","42,892,961.52","Energy","6214861","AU000000ORG5","Asx - All Markets","Australia","USD","AUD","1.48"
"SWMA","SWEDISH MATCH","Equity","0.07","56.56","755,376.00","42,721,178.96","42,721,178.96","Consumer Staples","5048566","SE0000310336","Nasdaq Omx Nordic","Sweden","USD","SEK","9.63"
